Model,Accuracy,Dice,IoU,HD
U-Net,0.9924568108752766,0.7876803451948551,0.7480892605624059,5.470904085110725
Attention U-Net,0.9913933948077986,0.7559925964091615,0.7254111097461088,5.958833506431134
DeepLabV3+,0.9937451387928651,0.7749676152012339,0.7312979961968298,4.476330938225632
